system_id,proper_ligand_chain
8ol4__1__1.B_1.C__1.P,1.P
8oli__1__1.A__1.B_1.C,1.C
8ome__1__1.A_1.D__1.E,1.E
8omp__1__1.A__1.B_1.C,1.C
8one__1__2.A__2.F_2.K,2.K
8onn__1__1.A__1.F,1.F
8oo2__1__1.A_1.B__1.C_1.D,1.C
8oo5__1__1.A__1.B_1.D_1.E,1.B
8ooj__1__1.B__1.H,1.H
8oov__1__1.A_1.B__1.D,1.D
8opu__1__1.A_1.C_1.D__1.IA,1.IA
8opv__1__1.B__1.Q,1.Q
8oq2__1__1.B__1.H_1.I,1.H
8oqm__1__1.B__1.N,1.N
8oqn__1__1.A_1.D__1.I,1.I
8oqp__1__1.D__1.PA,1.PA
8oqq__1__1.A__1.I,1.I
8oqs__1__1.C_1.D__1.OA,1.OA
8oqv__1__1.B__1.Q,1.Q
8oqx__1__1.A__1.C_1.D_1.G,1.C
8orc__1__1.B__1.J,1.J
8oru__1__1.A_1.B__1.M,1.M
8otv__1__1.A_1.B__1.F,1.F
8ou2__1__1.A__1.C,1.C
8ou3__1__1.A_1.C__1.E,1.E
8ou5__1__1.A_1.C__1.E,1.E
8ouk__1__1.A__1.B_1.C,1.B
8oum__1__1.A__1.F_1.G,1.F
8oun__1__1.A__1.C_1.D,1.C
8ouu__1__1.A__1.F,1.F
8ov7__1__1.A__1.B,1.B
8ovr__1__1.A__1.B,1.B
8ovs__1__1.A__1.C_1.F_1.I_1.Q_1.T,1.C
8ow7__1__1.A_1.C__1.G,1.G
8ow9__1__1.A_1.B__1.G,1.G
8p0e__1__1.A__1.C,1.C
8p0m__1__1.C__1.L,1.L
8p0o__1__1.A__1.H_1.P,1.P
8p0p__1__1.A__1.C,1.C
8p1e__1__1.D_1.E__1.P,1.P
8p1p__1__1.A__1.E,1.E
8p3e__1__1.B__1.F,1.F
8p44__1__1.A_1.B__1.E,1.E
8p4z__1__1.A__1.C,1.C
8p5c__1__1.A_1.B__1.C,1.C
8paf__1__1.A_1.B__1.C,1.C
8pbo__1__1.A__1.C,1.C
8pfl__1__1.A__1.C,1.C
8ph4__1__1.A_1.B__1.D_1.F,1.D
8pj0__1__1.A_1.B__1.V,1.V
8pj7__1__1.A__1.B,1.B
8pji__1__1.A__1.E,1.E
8pl6__1__1.A__1.C,1.C
8plb__1__1.A__1.D,1.D
8ple__1__1.A__1.F,1.F
8plp__1__2.B__2.F,2.F
8plu__1__1.A__1.D,1.D
8plw__1__2.B__2.G,2.G
8plx__1__2.B__2.F,2.F
8pom__1__1.A__1.C,1.C
8pp0__1__1.A__1.C,1.C
8pp8__1__1.A__1.D,1.D
8ppf__1__1.A__1.D,1.D
8pq9__1__1.A__1.C,1.C
8pqa__1__1.A__1.C,1.C
8pqf__1__1.A__1.C,1.C
8pqq__1__1.B_1.D__1.J,1.J
8pqr__1__1.A_1.B_1.C__1.E,1.E
8prx__1__1.D__1.IA_1.JA_1.KA,1.IA
8px2__1__1.A__1.B,1.B
8px8__1__1.A__1.D,1.D
8px9__1__1.A_1.B__1.C_1.D,1.D
8pxt__1__1.C__1.L,1.L
8pyi__1__1.A__1.I,1.I
8pyn__1__1.A__1.B,1.B
8q0t__1__1.A__1.C,1.C
8q0u__1__1.A__1.D,1.D
8q17__1__1.A__1.F,1.F
8q18__1__1.A__1.E_1.F_1.G,1.F
8q1m__1__1.A_1.B__1.G,1.G
8q2u__1__1.A__1.C,1.C
8q2w__1__1.A__1.C,1.C
8q2y__1__1.A__1.C,1.C
8q31__1__1.A__1.C,1.C
8q34__1__1.A__1.F,1.F
8q59__1__1.A__1.C_1.D_1.E,1.E
8q5v__1__1.A_1.B__1.P_1.Q,1.P
8q5x__1__1.A_1.C__1.E_1.F,1.E
8qc4__1__1.A__1.C,1.C
8qc5__1__1.B__1.E_1.F,1.E
8qdy__1__1.A_2.A__1.B,1.B
8qdz__1__1.A_2.A__2.B,2.B
8qe0__1__1.A_2.A__2.B,2.B
8qe1__1__1.A_2.A__1.B,1.B
8qe3__1__1.A_2.A__1.B,1.B
8qel__1__1.B__1.C,1.C
8qhq__1__1.A_1.B__1.G,1.G
8qic__1__1.B__1.F_1.J,1.F
8qk2__1__1.A__1.D,1.D
8qk5__1__1.A__1.D,1.D
8qk9__1__1.A__1.D,1.D
8qka__1__1.A__1.D,1.D
8qkb__1__1.D__1.CA_1.HA,1.CA
8qlr__1__1.B__1.F,1.F
8qmf__1__1.A_1.B__1.M_1.R_1.S,1.M
8qmy__1__1.A__1.D_1.E,1.D
8qnh__1__1.A__1.B,1.B
8qpn__1__1.A__1.B_1.I,1.I
8qq4__1__1.A__1.B_1.I,1.I
8qqg__1__1.A__1.D,1.D
8qqy__1__1.A__1.B,1.B
8qrt__1__1.B__1.F,1.F
8qtg__1__1.A__1.B,1.B
8qth__1__1.A__1.B,1.B
8qtj__1__1.A__1.E,1.E
8qtl__1__1.A_1.B__1.G,1.G
8qtt__1__1.C__1.D_1.V,1.D
8qve__1__1.A__1.B_1.D,1.B
8qyg__1__1.A_1.B__1.C_1.L,1.C
8qyq__1__1.A__1.H,1.H
8qyr__1__1.A__1.G_1.H_1.I,1.H
8qyu__1__1.A__1.K_1.L,1.L
8qyw__1__1.A_2.A__1.C_1.E,1.C
8r0i__1__1.A_2.A__1.D,1.D
8r11__1__1.A_1.B__1.C,1.C
8r12__1__1.A_1.B__1.C,1.C
8r1n__1__1.A__1.C,1.C
8r1p__1__1.A_1.B__1.C,1.C
8r3d__1__1.B_1.E__1.J,1.J
8r3o__1__1.A_1.B__1.E_1.F_1.G,1.E
8r3p__1__1.A_1.B__1.E_1.F,1.E
8r3q__1__1.A_1.B__1.J_1.M,1.J
8r3s__1__1.A_1.B__1.K_1.L,1.K
8r41__1__1.A__1.E_1.F_1.G,1.E
8r42__1__1.B__1.Q,1.Q
8r4o__1__1.A__1.M,1.M
8r4q__1__1.A__1.M_1.N,1.M
8r4u__1__1.A__1.I,1.I
8r4x__1__1.A__1.J_1.K_1.L_1.P,1.P
8r99__1__1.A__1.B_1.C,1.B
8rcw__1__1.A__1.C,1.C
8rdk__1__1.A__1.D,1.D
8re3__1__1.A__1.C_1.D_1.E,1.C
8rkq__1__1.A__1.E,1.E
8s98__1__1.A__1.D,1.D
8sam__1__1.A__1.C_1.D,1.D
8se5__1__1.A_1.B__1.H,1.H
8se6__1__1.A_1.B__1.F,1.F
8sf3__1__1.A__1.B_1.C,1.B
8sge__1__1.A__1.H,1.H
8sip__1__1.A_1.B__1.C,1.C
8six__1__1.A__1.B,1.B
8sk0__1__1.B__1.G_1.H,1.H
8skn__1__1.A__1.C,1.C
8slg__1__1.A__1.C,1.C
8smf__1__1.B_1.E__1.I,1.I
8smg__1__1.B_2.A__1.C,1.C
8sqg__1__1.A__1.C_1.D,1.D
8su1__1__1.A__1.C_1.D_1.E_1.F,1.F
8sua__1__1.A__1.B,1.B
8sv9__1__1.A__1.C,1.C
8svl__1__1.A__1.B_1.C_1.G,1.C
8swe__1__1.A__1.E,1.E
8swq__1__1.A_1.C__1.G_1.H,1.G
8swr__1__1.A_1.B__1.I,1.I
8swt__1__1.A_2.A__1.C_1.D,1.C
8swu__1__1.A_1.B__1.D_1.E,1.D
8sx2__1__1.A__1.C,1.C
8sx4__1__1.A__1.C,1.C
8sxy__1__1.A__1.C,1.C
8sye__1__1.A__1.C,1.C
8sz3__1__1.A_2.B__1.G,1.G
8sze__1__1.A__1.C,1.C
8szq__1__1.A__1.B_1.C,1.B
8szs__1__1.A__1.B_1.C,1.B
8t1q__1__1.A__1.B_1.F_1.G,1.B
8t1y__1__1.A__1.B,1.B
8t27__1__1.A__1.B,1.B
8t2h__1__1.A__1.C_1.D_1.E,1.C
8t5n__1__1.A__1.B_1.M,1.M
8t8v__1__1.A__1.B_1.C_1.E_1.F,1.B
8t9v__1__1.A__1.B,1.B
8tab__1__1.A__1.E_1.G,1.E
8tbs__1__1.A_1.B__1.M,1.M
8tbu__1__1.A_1.B__1.I,1.I
8tc8__1__1.A__1.E_1.H_1.L,1.E
8tc9__1__1.A__1.E_1.M,1.E
8tce__1__1.A__1.C,1.C
8tjc__1__1.A__1.K,1.K
8tl8__1__1.A__1.C,1.C
8tn6__1__1.A__1.D,1.D
8tnb__1__1.A_1.C__1.F,1.F
8tnc__1__1.B__1.E,1.E
8tnd__1__1.B__1.F,1.F
8tqv__1__1.A__1.C,1.C
8ts9__1__1.A__1.C,1.C
8tsa__1__1.A__1.C,1.C
8tsd__1__1.A__1.C,1.C
8tti__1__1.A__1.E,1.E
8ttz__1__2.B__2.GA,2.GA
8twj__1__1.A__1.B_1.C_1.D_1.E,1.B
8typ__1__1.A__1.C,1.C
8u2e__1__1.A__1.B,1.B
8u2r__1__1.A__1.C,1.C
8u37__1__1.A__1.B,1.B
8u4w__1__1.A__1.E,1.E
8u7w__1__1.A__1.C,1.C
8u7x__1__1.A__1.C,1.C
8u8j__1__1.A__1.B,1.B
8u8k__1__1.A__1.B,1.B
8u97__1__1.A__1.B,1.B
8uak__1__1.A__1.B,1.B
8ufp__1__1.A_1.B__1.K,1.K
8ug1__1__1.B__1.H,1.H
8ug3__1__1.A_1.B__1.C,1.C
8ui1__1__1.A__1.B_1.C,1.B
8ujy__1__1.B__1.D,1.D
8uk6__1__1.A__1.C,1.C
8uob__1__1.A__1.B,1.B
8ur9__1__1.A_1.B__1.C,1.C
8usm__1__1.A__1.C,1.C
8uuf__1__1.A__1.B,1.B
8uuu__1__1.A__1.B,1.B
8uuv__1__1.A__1.B,1.B
8ux7__1__1.B__1.I,1.I
8v2k__1__1.C_1.D__1.N,1.N
8v2t__1__1.A_3.A_4.A__3.C_4.B,4.B
8v4a__1__1.C_1.D__1.M,1.M
8v4j__1__1.A_3.A_4.A__3.C_4.B,4.B
8v4p__1__1.A__1.L,1.L
8v5g__1__1.A__1.D,1.D
8v8e__1__1.A__1.D,1.D
8v8j__1__1.A__1.F,1.F
8v9p__1__1.C_1.D__1.M,1.M
8vh9__1__1.A_1.B__1.C_1.F,1.F
8vw1__1__1.A__1.B_1.C,1.B
8w0b__1__1.A__1.D,1.D
8w0d__1__1.A__1.E,1.E
8w0j__1__1.A__1.D,1.D
8w0m__1__1.C__1.F,1.F
8w4s__1__1.A__1.D,1.D
8w7f__1__1.A__1.E_1.F,1.F
8wa7__1__1.A_1.B__1.CA_1.DA_1.N_1.X,1.CA
8wd4__1__1.A__1.B,1.B
8wdx__1__1.A__1.B,1.B
8wg1__1__1.A__1.E_1.I_1.K,1.E
8wjy__1__1.A__1.B,1.B
8wmy__1__1.A__1.C_1.D_1.E,1.C
8wnj__1__1.A__1.F,1.F
8wo2__1__1.A__1.D,1.D
8wr2__1__1.A__1.E_1.F,1.F
8wrj__1__1.A__1.B,1.B
8wsm__1__1.A__1.B_1.C,1.C
8wsm__1__1.A__1.D,1.D
8wsw__1__1.A__1.E,1.E
8wwo__1__1.A_2.D__2.K_2.L,2.K
8wzq__1__1.A__1.C,1.C
8x1a__1__1.A__1.B,1.B
8xfd__1__1.C_1.D__1.N,1.N
8xhd__1__1.A_1.B__1.C,1.C
8xkf__1__1.A_1.C__1.M_1.S,1.S
8y33__1__1.A__1.B,1.B
8yhw__1__1.A__1.E_1.F,1.E
9eun__1__1.A__1.E,1.E
9f40__1__1.A__1.Q,1.Q
9f41__1__1.A__1.Q,1.Q
